"","binomial","eq","bm","brm","diet","habitus","suborder","new","bin"
"310","Microtus_townsendii",0.853852109635826,3.88293294939491,-0.12777501127957,"folivorous","semifossorial","Myomorpha","Modified","<100"
"311","Microtus_xanthognathus",0.597506029164403,4.48975933447676,-0.0265082598807962,"folivorous","semifossorial","Myomorpha","New","<100"
"312","Millardia_meltada",0.959908049134403,4.52450228292064,0.438254930931155,"granivorous","terrestrial","Myomorpha","New","<100"
"313","Mus_booduga",0.859004854089617,2.69453586490825,-1.01592653175628,"granivorous","terrestrial","Myomorpha","Modified","<100"
"314","Mus_minutoides",1.0875867381205,2.11229179166701,-1.25244260455231,"omnivorous","terrestrial","Myomorpha","New","<100"
"315","Mus_musculoides",1.34643378633421,2.16332302566054,-0.958885129506576,"folivorous","terrestrial","Myomorpha","Old","<100"
"316","Mus_musculus",0.897812493316718,2.79642727228806,-0.914225476361818,"granivorous","terrestrial","Myomorpha","Modified","<100"
"317","Mus_platythrix",0.733762617177616,3.37416870927424,-0.657780036722654,"granivorous","terrestrial","Myomorpha","Old","<100"
"318","Mus_triton",1.28720691119843,2.30656917781863,-0.932810658913255,"animalivorous","terrestrial","Myomorpha","New","<100"
"319","Muscardinus_avellanarius",1.34627941838181,2.56494935746154,-0.693147180559945,"omnivorous","arboreal","Sciuromorpha","New","<100"
"320","Myocastor_coypus",0.535817323826816,8.63431978101195,2.87058445947754,"folivorous","semiaquatic","Hystricomorpha","Modified",">1000"
"321","Myodes_gapperi",1.05101047040708,3.03103139797676,-0.571981240007164,"omnivorous","terrestrial","Myomorpha","Modified","<100"
"322","Myodes_glareolus",1.15265341349423,2.92921141628985,-0.568562668221981,"omnivorous","terrestrial","Myomorpha","Modified","<100"
"323","Myodes_rufocanus",0.730387733580354,3.6454498961866,-0.458929177977489,"omnivorous","terrestrial","Myomorpha","Old","<100"
"324","Myodes_rutilus",1.20136850544758,2.86789890204411,-0.544451351415651,"omnivorous","terrestrial","Myomorpha","Old","<100"
"325","Myodes_smithii",1.17262142421251,3.07823349506573,-0.446287102628419,"omnivorous","terrestrial","Myomorpha","New","<100"
"326","Myoprocta_acouchy",1.2341070865367,6.66185474054531,2.29253475714054,"frugivorous","terrestrial","Hystricomorpha","New","100-1000"
"327","Myoprocta_pratti",1.23647960953935,6.65929391968364,2.29253475714054,"frugivorous","terrestrial","Hystricomorpha","New","100-1000"
"328","Myopus_schisticolor",0.741356565529866,3.51154543883102,-0.544451351415651,"folivorous","terrestrial","Myomorpha","Old","<100"
"329","Myosciurus_pumilio",1.57618720673628,2.80336038090653,-0.321307800101441,"omnivorous","arboreal","Sciuromorpha","New","<100"
"330","Mysateles_prehensilis",0.505823276391528,7.43454767736243,2.01385576905189,"folivorous","arboreal","Hystricomorpha","New",">1000"
"331","Mystromys_albicaudatus",0.957899675971681,4.38202663467388,0.364670890979892,"folivorous","semifossorial","Myomorpha","Old","<100"
"332","Napaeozapus_insignis",0.83704337815373,3.14415227867226,-0.698602031242909,"omnivorous","terrestrial","Myomorpha","Old","<100"
"333","Necromys_lasiurus",1.14301687514726,3.48124008933569,-0.134235640548889,"omnivorous","terrestrial","Myomorpha","New","<100"
"334","Nectomys_squamipes",0.769481780065916,5.8024204445532,1.17557332980424,"omnivorous","semiaquatic","Myomorpha","New","100-1000"
"335","Neofiber_alleni",0.751737418596646,5.60027209828654,1.0359990241452,"folivorous","semiaquatic","Myomorpha","Old","100-1000"
"336","Neotoma_albigula",0.856164871244855,5.25526533582196,0.888812768128698,"folivorous","saxicolous","Myomorpha","Modified","100-1000"
"337","Neotoma_cinerea",0.79754357700175,5.54087131138207,1.05059782356635,"folivorous","saxicolous","Myomorpha","Modified","100-1000"
"338","Neotoma_floridana",0.871285499004445,5.55179611765832,1.14722465925542,"folivorous","terrestrial","Myomorpha","Old","100-1000"
"339","Neotoma_fuscipes",0.87637727076815,5.39960632705066,1.03575566908537,"folivorous","terrestrial","Myomorpha","Modified","100-1000"
"340","Neotoma_goldmani",1.21321456542375,4.54542018158232,0.723501782573692,"folivorous","terrestrial","Myomorpha","New","<100"
"341","Neotoma_lepida",0.913933356185144,4.85437127162159,0.671943972908842,"folivorous","terrestrial","Myomorpha","New","100-1000"
"342","Neotoma_mexicana",0.86723682964826,5.1328529268205,0.828359659366953,"folivorous","saxicolous","Myomorpha","New","100-1000"
"343","Neotoma_micropus",0.815434887109759,5.49182611273256,1.0359990241452,"folivorous","terrestrial","Myomorpha","Modified","100-1000"
"344","Neotoma_phenax",0.836737211980937,5.12515374753885,0.786783232521212,"folivorous","terrestrial","Myomorpha","New","100-1000"
"345","Neotoma_stephensi",0.857224959993583,5.02847521222459,0.738464655250405,"folivorous","terrestrial","Myomorpha","New","100-1000"
"346","Nesokia_indica",0.7489846287695,5.18178355029209,0.683096844706444,"folivorous","semifossorial","Myomorpha","New","100-1000"
"347","Nilopegamys_plumbeus",1.17021207284139,4.33073334028633,0.491030996437811,"animalivorous","semiaquatic","Myomorpha","New","<100"
"348","Niviventer_cremoriventer",1.05084508159969,4.18965474202643,0.27763173659828,"omnivorous","arboreal","Myomorpha","New","<100"
"349","Notocitellus_adocetus",1.25993902032741,5.04677434071213,1.10194007876078,"frugivorous","semifossorial","Sciuromorpha","Old","100-1000"
"350","Notocitellus_annulatus",1.17704294416528,5.77081787599236,1.61228186456583,"frugivorous","semifossorial","Sciuromorpha","New","100-1000"
"351","Notomys_alexis",1.17962143710993,3.61091791264422,-0.00545485068296381,"omnivorous","saltatorial","Myomorpha","Old","<100"
"352","Notomys_cervinus",1.31949852105673,3.55534806148941,0.0295588022415444,"granivorous","saltatorial","Myomorpha","New","<100"
"353","Notomys_mitchellii",0.923404406926368,3.95124371858143,-0.0304592074847086,"granivorous","saltatorial","Myomorpha","New","<100"
"354","Nyctomys_sumichrasti",0.923491779789832,4.0943445622221,0.11232818497342,"frugivorous","arboreal","Myomorpha","Old","<100"
"355","Ochrotomys_nuttalli",1.31544105411338,3.02529107579554,-0.371063681390832,"granivorous","arboreal","Myomorpha","Old","<100"
"356","Octodon_degus",0.808045327129153,5.24634329204131,0.804570431272686,"folivorous","terrestrial","Hystricomorpha","Modified","100-1000"
"357","Octodon_lunatus",1.19523755610378,5.08128714897751,1.06977419120598,"folivorous","terrestrial","Hystricomorpha","New","100-1000"
"358","Octodontomys_gliroides",1.46993034428808,4.49980967033027,0.881235411414901,"folivorous","terrestrial","Hystricomorpha","New","<100"
"359","Octomys_mimax",1.31586510595881,4.60085318885042,0.84629736005362,"folivorous","saxicolous","Hystricomorpha","New","<100"
"360","Oenomys_hypoxanthus",0.64170841818433,4.85178606367056,0.272810587852162,"folivorous","arboreal","Myomorpha","New","100-1000"
"361","Oligoryzomys_longicaudatus",1.05447500930566,3.28091121578765,-0.365110422759834,"omnivorous","terrestrial","Myomorpha","Old","<100"
"362","Oligoryzomys_nigripes",0.952033678716089,3.17805383034795,-0.579818495252942,"omnivorous","terrestrial","Myomorpha","New","<100"
"363","Ondatra_zibethicus",0.550206372429529,6.98443873389079,1.72661686404091,"folivorous","semiaquatic","Myomorpha","Modified",">1000"
"364","Onychomys_leucogaster",1.19192862480231,3.30928069882816,-0.222210347126319,"animalivorous","terrestrial","Myomorpha","Old","<100"
"365","Onychomys_torridus",1.11998896278265,2.99560463226308,-0.519796679295183,"animalivorous","terrestrial","Myomorpha","Old","<100"
"366","Orthogeomys_cherriei",0.696283057833932,6.00388706710654,1.26192461373516,"rhizophagous","fossorial","Castorimorpha","Old","100-1000"
"367","Orthogeomys_heterodus",0.620827175294056,6.44571981938558,1.47859363303171,"rhizophagous","fossorial","Castorimorpha","Old","100-1000"
"368","Orthogeomys_hispidus",0.641563899291963,6.29545048626629,1.39874423678528,"rhizophagous","fossorial","Castorimorpha","Old","100-1000"
"369","Oryzomys_palustris",0.902276628661925,3.85227300102237,-0.0924662276725935,"omnivorous","semiaquatic","Myomorpha","Old","<100"
"370","Osgoodomys_banderanus",0.981029791785921,3.8286413964891,-0.0265082598807962,"omnivorous","terrestrial","Myomorpha","Old","<100"
"371","Otomys_angoniensis",0.656784660986539,4.44230511594344,-0.0356304206937501,"folivorous","terrestrial","Myomorpha","Modified","<100"
"372","Otomys_auratus",0.860032048734423,4.84418708645859,0.603517834222551,"folivorous","terrestrial","Myomorpha","New","100-1000"
"373","Otomys_barbouri",0.728195695999322,4.71849887129509,0.342851843585252,"folivorous","terrestrial","Myomorpha","New","100-1000"
"374","Otomys_helleri",0.839058951889765,4.49980967033027,0.320546086070954,"folivorous","terrestrial","Myomorpha","New","<100"
"375","Otomys_irroratus",0.356624088980966,4.96284463025991,-0.187776407476918,"folivorous","terrestrial","Myomorpha","Modified","100-1000"
"376","Otomys_sloggetti",1.02978117869119,4.43081679884331,0.473622074768447,"folivorous","semifossorial","Myomorpha","New","<100"
"377","Otomys_unisulcatus",0.59015771671901,4.6943269536863,-0.0274144676503815,"folivorous","terrestrial","Myomorpha","New","100-1000"
"378","Otospermophilus_atricapillus",1.02742922275308,6.05795428837681,1.69168864217024,"granivorous","semifossorial","Sciuromorpha","Old","100-1000"
"379","Otospermophilus_beecheyi",0.759914480792211,6.42937076125068,1.6418037886677,"granivorous","semifossorial","Sciuromorpha","Modified","100-1000"
"380","Otospermophilus_variegatus",1.06094159891844,6.31644222410809,1.91178499202982,"granivorous","saxicolous","Sciuromorpha","Modified","100-1000"
"381","Ototylomys_phyllotis",1.09639979386971,4.14313472639153,0.320546086070954,"frugivorous","arboreal","Myomorpha","Old","<100"
"382","Paramelomys_levipes",1.24239908416424,4.4236483093647,0.655943631562401,"frugivorous","terrestrial","Myomorpha","Modified","<100"
"383","Paramelomys_rubex",1.25071726737199,3.90600493310258,0.274384044307791,"frugivorous","terrestrial","Myomorpha","Modified","<100"
"384","Paraxerus_boehmi",1.85199397817235,4.38825718442452,0.993251773010283,"omnivorous","arboreal","Sciuromorpha","New","<100"
"385","Paraxerus_cepapi",1.10295699438492,5.27983703255347,1.17049157187191,"omnivorous","arboreal","Sciuromorpha","Modified","100-1000"
"386","Paraxerus_poensis",1.67303340725891,4.60517018598809,1.08967917360882,"frugivorous","arboreal","Sciuromorpha","New","100-1000"
