"","species","x","y"
"98","Dendrohyrax_arboreus",19.09,2072.5
"99","Dendrohyrax_dorsalis",21.91,2743
"100","Dendrolagus_dorianus",28.11,5968
"101","Dendrolagus_matschiei",25.06,7006.32
"102","Diceros_bicornis",149.86,1154714.29
"103","Didelphis_albiventris",12.64,475
"104","Didelphis_aurita",14.12,1306.25
"105","Didelphis_pernigra",13.11,564
"106","Didelphis_virginiana",16.74,2225.98
"107","Dinomys_branickii",23.27,9525.44
"108","Dipodomys_heermanni",6.32,72.3
"109","Dipodomys_merriami",5.77,43
"110","Dipodomys_microps",6.38,60.75
"111","Dipodomys_ordii",6.73,61.95
"112","Dolichotis_salinicola",14.75,1966.67
"113","Dromiciops_gliroides",6.59,25.25
"114","Echinops_telfairi",7.66,139.75
"115","Echinosorex_gymnura",15.01,639.38
"116","Echymipera_kalubu",15.66,772.25
"117","Eira_barbara",25.17,4791.16
"118","Elephantulus_edwardii",8.18,46.17
"119","Elephantulus_rufescens",8.48,54.45
"120","Eligmodontia_moreni",5.59,17.1
"121","Enhydra_lutris",44.06,34473
"122","Equus_caballus",78.19,340725
"123","Equus_quagga",79.8,309000
"124","Erethizon_dorsatum",22.24,5436.19
"125","Erinaceus_europaeus",13.12,520
"126","Euphractus_sexcinctus",28.71,4000
"127","Galea_musteloides",8.77,215
"128","Galeopterus_variegatus",13.02,1429.51
"129","Herpestes_pulverulentus",16.87,830.8
"130","Herpestes_sanguineus",15.04,419.29
"131","Gazella_spekei",33.34,11620
"132","Genetta_genetta",18.51875,1511
"133","Genetta_thierryi",17.49,1189.25
"134","Genetta_tigrina",19.77,1928
"135","Geocapromys_ingrahami",11.51,660.2
"136","Geomys_pinetis",8.77,185.28
"137","Giraffa_camelopardalis",110.36,911720.7
"138","Glaucomys_volans",7.88,64.23
"139","Gracilinanus_agilis",6.29,22.34
"140","Graomys_griseoflavus",7.32,63
"141","Graphiurus_nagtglasii",8.4,90.89
"142","Gulo_gulo",35.28,12075.3
"143","Helarctos_malayanus",51.85,80350
"144","Helogale_parvula",13.45,346.25
